first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Renato,Sobral,Renato Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0
Rameau Thierry,Sokoudjou,Rameau Thierry Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0
Alexander,Soldatkin,Alexander Soldatkin,,"6' 2""",250 lbs.,"75.0""",Orthodox,14,4,0
Joe,Solecki,Joe Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,6,0
Chris,Solomon,Chris Solomon,,"5' 11""",155 lbs.,--,,0,0,0
Joe,Son,Joe Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0
Paul,Song,Paul Song,,--,185 lbs.,--,,2,2,0
Song,Kenan,Song Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,22,9,0
Song,Yadong,Song Yadong,Kung Fu Kid,"5' 8""",135 lbs.,"67.0""",Orthodox,22,8,1
YoungJae,Song,YoungJae Song,Super Rookie,"5' 7""",145 lbs.,"70.0""",Orthodox,6,1,1
Hyeonjong,Song,Hyeonjong Song,,--,135 lbs.,--,,8,1,0
Emrah,Sonmez,Emrah Sonmez,Anatolian Wolf,"5' 10""",145 lbs.,"71.0""",Orthodox,14,5,0
Chael,Sonnen,Chael Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1
Cody,Sons,Cody Sons,,"5' 9""",205 lbs.,--,,3,7,0
Jin,Soo Son,Jin Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0
Benardo,Sopaj,Benardo Sopaj,Lion King,"5' 6""",135 lbs.,"66.0""",Orthodox,12,3,0
Emiliano,Sordi,Emiliano Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0
Sean,Soriano,Sean Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0
Punahele,Soriano,Punahele Soriano,Puna,"5' 11""",170 lbs.,"72.0""",Southpaw,11,4,0
Hecher,Sosa,Hecher Sosa,Guanche Warrior,--,135 lbs.,--,,13,1,0
Dmitry,Sosnovskiy,Dmitry Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0
Ben,Sosoli,Ben Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0
Krzysztof,Soszynski,Krzysztof Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1
George,Sotiropoulos,George Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0
Greg,Soto,Greg Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0
Alex,Soto,Alex Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1
Joe,Soto,Joe Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0
Mario,Soto,Mario Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0
Andre,Soukhamthath,Andre Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0
Mario,Sousa,Mario Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,15,3,0
Manoel,Sousa,Manoel Sousa,Manumito,--,155 lbs.,--,,12,1,0
Bobby,Southworth,Bobby Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0
